epoch,accuracy,loss,val_accuracy,val_loss
1,0.8064516186714172,0.5547733306884766,0.8406779766082764,0.4191454350948334
2,0.8404074907302856,0.3548315763473511,0.8406779766082764,0.35357895493507385
3,0.8531408905982971,0.2301361858844757,0.8508474826812744,0.27841898798942566
4,0.961799681186676,0.12842395901679993,0.8949152827262878,0.2518188953399658
5,0.9932088255882263,0.04937812685966492,0.8983050584793091,0.26771312952041626
6,0.9974533319473267,0.017402667552232742,0.9016948938369751,0.3117501735687256
7,0.9991511106491089,0.007339474279433489,0.9050847291946411,0.32931235432624817
8,1.0,0.00382450083270669,0.9016948938369751,0.36063042283058167
9,1.0,0.0024403524585068226,0.9050847291946411,0.36262625455856323
10,1.0,0.0020284357015043497,0.9050847291946411,0.39607641100883484
